case_id,batch_id,case_label,narrative_summary,f3_scenario_index,description,ground_truth_category,qwen_category,qwen_rationale,human_agree_category,human_agree_rationale,human_corrected_category,human_notes
9a3949c2-b812-4a64-9014-e56332bb01f4,synthetic_batch_25,Case_1,"Mr. Arthur Vance, 88, is nearing discharge after a Bilateral TKA, but his transition is paralyzed by a medication reconciliation conflict involving high-risk anticoagulants. The facility's Social Worker is non-responsive due to impending retirement, and a Managed Medicare Advantage plan has stalled the authorization process by demanding specific gait-training documentation. The case is further complicated by a hostile family concerned about the 100-day Medicare cliff, requiring the Navigator to bypass institutional inertia to secure a safe and paid home transition.",1,Decline to intervene in the medication reconciliation discrepancy and wait for the formal Thursday morning Interdisciplinary Team (IDT) meeting to raise the issue with the Medical Director.,Passive,Passive,"The scenario explicitly instructs the Patient Navigator to 'Decline to intervene' in the medication reconciliation discrepancy and to 'wait' for a formal Interdisciplinary Team (IDT) meeting. The Navigator is instructed to defer the issue to the Medical Director rather than acting as a liaison to resolve the conflict, document the gap, or flag the issue to the Social Worker. This aligns perfectly with the 'Passive' category, specifically 'Strategic Deferral,' where the Navigator defers to the SW or other stakeholders without taking action within their lane.",,,,
9a3949c2-b812-4a64-9014-e56332bb01f4,synthetic_batch_25,Case_1,"Mr. Arthur Vance, 88, is nearing discharge after a Bilateral TKA, but his transition is paralyzed by a medication reconciliation conflict involving high-risk anticoagulants. The facility's Social Worker is non-responsive due to impending retirement, and a Managed Medicare Advantage plan has stalled the authorization process by demanding specific gait-training documentation. The case is further complicated by a hostile family concerned about the 100-day Medicare cliff, requiring the Navigator to bypass institutional inertia to secure a safe and paid home transition.",2,Request the SNF Unit Manager to facilitate a 'warm handoff' call between the SNF floor nurse and the HHA's clinical supervisor to resolve the Eliquis vs. Warfarin conflict prior to the final discharge order being written.,Proactive,Overstep,"The scenario describes a situation where the Patient Navigator (PN) is actively intervening to resolve a clinical conflict (Eliquis vs. Warfarin) that is causing a discharge delay. The PN is requesting a direct communication between clinical staff (SNF Unit Manager) to bypass institutional inertia and secure a safe transition. This constitutes 'Clinical/Vendor interference' because the PN is crossing the boundary of the Social Worker's role by directly managing clinical medication conflicts and bypassing the SW to facilitate a handoff, effectively acting as a liaison for clinical resolution rather than just documentation or deferral.",,,,
9a3949c2-b812-4a64-9014-e56332bb01f4,synthetic_batch_25,Case_1,"Mr. Arthur Vance, 88, is nearing discharge after a Bilateral TKA, but his transition is paralyzed by a medication reconciliation conflict involving high-risk anticoagulants. The facility's Social Worker is non-responsive due to impending retirement, and a Managed Medicare Advantage plan has stalled the authorization process by demanding specific gait-training documentation. The case is further complicated by a hostile family concerned about the 100-day Medicare cliff, requiring the Navigator to bypass institutional inertia to secure a safe and paid home transition.",3,"Review the patient's pre-admission medication bottles brought in by the daughter and cross-reference them with the SNF's EMAR, then provide a 'corrected' list to the HHA to expedite the intake process.",Overstep,Overstep,"The Patient Navigator is crossing the boundary by directly contacting the HHA (Healthcare Home Assistant) to provide a 'corrected' medication list. This action bypasses the Social Worker (SW) and the facility's standard intake protocols, effectively acting as a clinical intermediary. The scenario explicitly states the SW is non-responsive and the plan is stalled, making the Navigator's intervention a direct clinical interference that undermines the SW's role and the facility's workflow.",,,,
237ba517-a133-435f-9446-e94746a99d5d,synthetic_batch_25,Case_2,"Mrs. Eleanor Vance, a 78-year-old with CHF, is caught between a burned-out Social Worker pushing for LTC placement and an insurance denial claiming 'no skilled need.' The facility is aggressively managing its 100-day Medicare cliff, attempting to transition Eleanor to private pay or Medicaid LTC by Day 101. The PN must navigate a hostile family dynamic and bureaucratic delays in CHC Waiver approvals while clinically proving Eleanor’s eligibility for home health. Success hinges on bypassing administrative gatekeepers to secure the precise documentation needed to overturn the Managed Medicare denial.",1,Respect the Social Worker’s timeline for LTC placement while documenting the insurance denial as a secondary barrier in the PN log.,Passive,Passive,"The scenario explicitly instructs the Patient Navigator to 'document the insurance denial as a secondary barrier in the PN log' and 'Respect the Social Worker's timeline for LTC placement.' This indicates a strategy of deferring clinical action and administrative hurdles to the SW and the facility, rather than taking independent action to bypass gatekeepers or manage clinical details. The PN is acting within their lane of documentation and coordination, waiting for the SW to resolve the LTC placement issue before proceeding.",,,,
237ba517-a133-435f-9446-e94746a99d5d,synthetic_batch_25,Case_2,"Mrs. Eleanor Vance, a 78-year-old with CHF, is caught between a burned-out Social Worker pushing for LTC placement and an insurance denial claiming 'no skilled need.' The facility is aggressively managing its 100-day Medicare cliff, attempting to transition Eleanor to private pay or Medicaid LTC by Day 101. The PN must navigate a hostile family dynamic and bureaucratic delays in CHC Waiver approvals while clinically proving Eleanor’s eligibility for home health. Success hinges on bypassing administrative gatekeepers to secure the precise documentation needed to overturn the Managed Medicare denial.",2,"Present the Social Worker with the specific PT progress notes and the physician’s signed F2F, offering to draft the appeal narrative for her to review and submit.",Proactive,Proactive,"The Patient Navigator is acting within their designated lane by providing the Social Worker with specific clinical documentation (PT progress notes) and a physician's signed F2F to support the appeal. This aligns with the 'Proactive: Liaison/Education' category, as the PN is actively facilitating the SW's goal of overturning the denial by supplying the necessary evidence and drafting the narrative, rather than deferring the decision (Passive) or crossing into clinical management of the patient's care (Overstep).",,,,
237ba517-a133-435f-9446-e94746a99d5d,synthetic_batch_25,Case_2,"Mrs. Eleanor Vance, a 78-year-old with CHF, is caught between a burned-out Social Worker pushing for LTC placement and an insurance denial claiming 'no skilled need.' The facility is aggressively managing its 100-day Medicare cliff, attempting to transition Eleanor to private pay or Medicaid LTC by Day 101. The PN must navigate a hostile family dynamic and bureaucratic delays in CHC Waiver approvals while clinically proving Eleanor’s eligibility for home health. Success hinges on bypassing administrative gatekeepers to secure the precise documentation needed to overturn the Managed Medicare denial.",3,"Directly call the Managed Care Organization’s (MCO) medical director to advocate for the patient’s home health necessity, bypassing the facility’s internal billing and appeal protocols.",Overstep,Overstep,"The scenario explicitly instructs the Patient Navigator to 'bypass administrative gatekeepers' and 'directly call the MCO's medical director.' This action crosses the boundary of the PN's role by bypassing the facility's internal protocols and the Social Worker (SW) who is already managing the patient's placement and appeals. Furthermore, the PN is taking on clinical advocacy and billing management responsibilities that should be handled by the SW or the facility's clinical team, effectively interfering with the SW's clinical and administrative duties.",,,,
157fafca-08e7-408d-9557-706d8c6ad30e,synthetic_batch_25,Case_3,"68-year-old Evelyn is recovering from an MS flare, but her transition home is paralyzed by a missing physician signature required for her Managed Medicare authorization. The facility's Social Worker is exhibiting severe burnout, refusing to assist with physician outreach, while the patient's daughter is threatening a legal grievance over perceived safety concerns. As the 100-day Medicare cliff looms, the PN must navigate institutional politics and administrative delays to secure the F2F documentation before the facility forces an LTC transition. The case tests the PN's ability to bypass uncooperative staff while managing an anxious family dynamic and strict insurance requirements.",1,Respect the facility's internal hierarchy by documenting the missing F2F signature in the shared DocNow portal and awaiting the Social Worker's return from his mental health leave to finalize the outreach.,Passive,Passive,"The scenario explicitly instructs the Patient Navigator to 'Respect the facility's internal hierarchy' and to 'await' the Social Worker's return. The PN is not actively intervening, educating, or bypassing staff; rather, they are deferring the action to the designated team member (the SW) who is currently unavailable due to burnout. This aligns perfectly with the 'Passive: Strategic Deferral' category, where the PN waits for the SW to resolve the issue without crossing clinical or vendor boundaries.",,,,
157fafca-08e7-408d-9557-706d8c6ad30e,synthetic_batch_25,Case_3,"68-year-old Evelyn is recovering from an MS flare, but her transition home is paralyzed by a missing physician signature required for her Managed Medicare authorization. The facility's Social Worker is exhibiting severe burnout, refusing to assist with physician outreach, while the patient's daughter is threatening a legal grievance over perceived safety concerns. As the 100-day Medicare cliff looms, the PN must navigate institutional politics and administrative delays to secure the F2F documentation before the facility forces an LTC transition. The case tests the PN's ability to bypass uncooperative staff while managing an anxious family dynamic and strict insurance requirements.",2,Contact the Neurologist's Medical Assistant directly to verify the F2F encounter note is finalized in the external EMR and offer to fax the specific Home Health authorization form directly to their desk for a digital signature.,Proactive,Proactive,"The Patient Navigator (PN) is acting within their designated lane by contacting the Neurologist's Medical Assistant (a vendor/external stakeholder) to verify documentation status and facilitate the authorization process. This aligns with the 'Proactive: Liaison/Education' category because the PN is actively engaging with the correct channel (the Medical Assistant) to resolve a specific administrative hurdle (missing signature) without bypassing the Social Worker or crossing into clinical management. The goal is to secure the necessary documentation for the patient's care plan, which is a standard administrative function for a PN.",,,,
157fafca-08e7-408d-9557-706d8c6ad30e,synthetic_batch_25,Case_3,"68-year-old Evelyn is recovering from an MS flare, but her transition home is paralyzed by a missing physician signature required for her Managed Medicare authorization. The facility's Social Worker is exhibiting severe burnout, refusing to assist with physician outreach, while the patient's daughter is threatening a legal grievance over perceived safety concerns. As the 100-day Medicare cliff looms, the PN must navigate institutional politics and administrative delays to secure the F2F documentation before the facility forces an LTC transition. The case tests the PN's ability to bypass uncooperative staff while managing an anxious family dynamic and strict insurance requirements.",3,"Review the Neurologist's recent progress notes and draft the clinical justification for the 'Face-to-Face' encounter yourself, then present it to the doctor to sign as a completed 'administrative courtesy' to save him time.",Overstep,Overstep,"The scenario describes the Patient Navigator (PN) bypassing the Social Worker (SW) and the facility's internal protocols by directly contacting the Neurologist to draft and present clinical justification for a F2F encounter. This action crosses the boundary of 'Liaison/Education' into 'Overstep' because it involves bypassing the designated SW, managing clinical details directly, and attempting to circumvent administrative delays by acting as a substitute for the SW's role. The PN is not deferring (Passive) nor is they acting within their lane to educate or document (Proactive); they are actively interfering with the SW's workflow and the facility's administrative process.",,,,
640c4abe-797c-4574-9c8f-c7aabbe4fa88,synthetic_batch_25,Case_4,"Arthur, an 82-year-old with Parkinson's, is being 'Friday-dumped' by a SNF looking to clear beds, despite a pending Managed Medicare authorization. The Social Worker, Linda, is actively obstructing the transition due to burnout, refusing to secure the necessary F2F signatures before the weekend. The PN must navigate a hostile family dynamic and a 3-7 day authorization delay to prevent a 'Black Hole' scenario where the patient is left home alone without skilled care during a high-risk medication window.",1,Respect the facility's internal discharge protocol by allowing the Social Worker to lead the family meeting and accepting the Monday HHA start date as the earliest feasible option under Managed Medicare guidelines.,Passive,Passive,"The Patient Navigator (PN) correctly identifies the core issue: the Social Worker (SW) is obstructing the discharge process due to burnout and refusing to secure necessary signatures. The PN's action of allowing the SW to lead the family meeting and accepting the earliest feasible HHA start date is a strategic deferral. The PN does not intervene in the clinical details or manage the family meeting; instead, they facilitate the SW's role and defer the decision-making to the SW, adhering strictly to the facility's protocol and the SW's authority. This aligns with the 'Passive: Strategic Deferral' category, where the PN waits and defers to the SW without crossing clinical or vendor boundaries.",,,,
640c4abe-797c-4574-9c8f-c7aabbe4fa88,synthetic_batch_25,Case_4,"Arthur, an 82-year-old with Parkinson's, is being 'Friday-dumped' by a SNF looking to clear beds, despite a pending Managed Medicare authorization. The Social Worker, Linda, is actively obstructing the transition due to burnout, refusing to secure the necessary F2F signatures before the weekend. The PN must navigate a hostile family dynamic and a 3-7 day authorization delay to prevent a 'Black Hole' scenario where the patient is left home alone without skilled care during a high-risk medication window.",2,"Directly contact the HHA's Intake Director to request an 'Administrative Exception' for a Friday evening assessment, while simultaneously providing the daughter with a list of community-based respite providers for the weekend gap.",Proactive,Overstep,"The scenario describes a Patient Navigator (PN) who is actively intervening to prevent a 'Black Hole' (patient isolation) and managing a high-risk medication window. The PN contacts the HHA directly to request an exception, which constitutes clinical/vendor interference by bypassing the Social Worker (SW) and the SNF's standard protocols. Furthermore, the PN is managing clinical details (requesting an exception) and providing specific care-related information (respite providers) to the family, which falls under 'Clinical/Vendor interference' as it crosses the boundary of strategic deferral and education into direct clinical management.",,,,
640c4abe-797c-4574-9c8f-c7aabbe4fa88,synthetic_batch_25,Case_4,"Arthur, an 82-year-old with Parkinson's, is being 'Friday-dumped' by a SNF looking to clear beds, despite a pending Managed Medicare authorization. The Social Worker, Linda, is actively obstructing the transition due to burnout, refusing to secure the necessary F2F signatures before the weekend. The PN must navigate a hostile family dynamic and a 3-7 day authorization delay to prevent a 'Black Hole' scenario where the patient is left home alone without skilled care during a high-risk medication window.",3,"Create a customized Parkinson's medication 'titration and safety' schedule for the daughter to follow during the weekend, utilizing the PN's prior experience with similar cases to ensure no doses are missed before the nurse arrives.",Overstep,Proactive,"The Patient Navigator (PN) is acting within their designated lane by providing specific, actionable educational guidance to the daughter (family member) regarding medication titration and safety. This falls under 'Proactive: Liaison/Education' because the PN is assisting the family in managing the patient's care plan to prevent a 'Black Hole' scenario, rather than deferring to the Social Worker (who is obstructing) or crossing clinical boundaries by managing the medication schedule directly (which would be Overstep). The PN is facilitating the family's role in the transition while waiting for the SW to resolve the authorization issue.",,,,
1c82842f-954d-4391-903c-a10632c3c906,synthetic_batch_25,Case_5,"Arthur, an 81-year-old stroke survivor, faces a fractured transition from Northcrest Rehab due to a 'Face-to-Face' documentation gap and a burned-out Social Worker who has deprioritized his case. As his Managed Medicare Advantage plan pends authorization for home health, the facility is aggressively pushing for a Day 100 discharge to protect its financial margins. The PN must navigate a hostile family dynamic and institutional gatekeeping to secure the necessary physician signatures and insurance approvals before the 100-day cliff forces a transition to costly private-pay long-term care.",1,"Decline to intervene in the F2F documentation gap, instead documenting the delay in the system and waiting for the Social Worker to resolve the signature issue during the scheduled Tuesday Care Conference.",Passive,Passive,"The Patient Navigator declines to intervene in the 'Face-to-Face' documentation gap, explicitly choosing to wait for the Social Worker to resolve the signature issue during a scheduled conference. This aligns with the 'Passive' category of 'Strategic Deferral,' where the PN defers to the SW and does not act within their own lane to bypass institutional gatekeeping or address the immediate clinical friction, allowing the SW to handle the coordination.",,,,
1c82842f-954d-4391-903c-a10632c3c906,synthetic_batch_25,Case_5,"Arthur, an 81-year-old stroke survivor, faces a fractured transition from Northcrest Rehab due to a 'Face-to-Face' documentation gap and a burned-out Social Worker who has deprioritized his case. As his Managed Medicare Advantage plan pends authorization for home health, the facility is aggressively pushing for a Day 100 discharge to protect its financial margins. The PN must navigate a hostile family dynamic and institutional gatekeeping to secure the necessary physician signatures and insurance approvals before the 100-day cliff forces a transition to costly private-pay long-term care.",2,"Coordinate a brief huddle between the PT Lead and the NP to align on 'homebound' language, then present the unified clinical narrative to the physician for a streamlined signature on the F2F form.",Proactive,Proactive,"The Patient Navigator (PN) is acting within their designated lane by coordinating a brief huddle between the PT Lead and the NP to align on clinical terminology ('homebound' language). This action facilitates the creation of a unified clinical narrative for the physician, which is a core function of the Liaison/Education category. The PN is not deferring to the Social Worker (as the SW is deprioritized and the PN is the primary contact here) nor is the PN crossing boundaries by contacting HHAs or managing clinical details directly; they are simply ensuring the clinical documentation is accurate and consistent before submission.",,,,
